iter	MultiClass
0	1.383070663
1	1.380281367
2	1.376951846
3	1.373759313
4	1.370821002
5	1.367645803
6	1.364805753
7	1.362036544
8	1.359103268
9	1.356094183
10	1.353278709
11	1.350517753
12	1.347435805
13	1.34468658
14	1.342038001
15	1.33948533
16	1.337013194
17	1.334453235
18	1.331885962
19	1.329176748
20	1.326532123
21	1.323826976
22	1.321488267
23	1.319095324
24	1.316645551
25	1.314307884
26	1.311911356
27	1.309516313
28	1.307180957
29	1.304940098
30	1.303012909
31	1.300653559
32	1.29839018
33	1.296287225
34	1.294306827
35	1.292196994
36	1.290119683
37	1.288177149
38	1.286038646
39	1.283948906
40	1.281983116
41	1.280090694
42	1.277982684
43	1.275947062
44	1.273940812
45	1.271984803
46	1.27018435
47	1.268190082
48	1.266379044
49	1.264475642
50	1.262669571
51	1.260747855
52	1.259122348
53	1.257235102
54	1.255703661
55	1.254032505
56	1.252416728
57	1.250619386
58	1.248800951
59	1.247348068
60	1.245646369
61	1.244184879
62	1.242637499
63	1.241114352
64	1.239390803
65	1.238170596
66	1.236581305
67	1.235076565
68	1.233581855
69	1.232117441
70	1.230403538
71	1.229152037
72	1.227572229
73	1.226138034
74	1.224599747
75	1.223177033
76	1.2218276
77	1.220543216
78	1.21906768
79	1.217617212
80	1.216351331
81	1.215034296
82	1.213747242
83	1.21236655
84	1.211025735
85	1.209706805
86	1.208468499
87	1.207215704
88	1.206009551
89	1.204846915
90	1.203591006
91	1.202494321
92	1.201369368
93	1.199993924
94	1.19902678
95	1.197862542
96	1.196693033
97	1.195680421
98	1.19444266
99	1.193394624
