iter	Passed	Remaining
0	167	16601
1	196	9620
2	225	7279
3	248	5966
4	274	5221
5	300	4710
6	320	4263
7	342	3938
8	361	3657
9	381	3436
10	403	3266
11	427	3137
12	447	2993
13	468	2878
14	488	2765
15	509	2672
16	528	2581
17	551	2510
18	573	2444
19	594	2377
20	615	2315
21	635	2252
22	654	2192
23	675	2138
24	698	2096
25	721	2052
26	742	2007
27	763	1963
28	782	1914
29	800	1868
30	821	1827
31	841	1788
32	862	1750
33	881	1710
34	902	1675
35	922	1639
36	942	1604
37	962	1569
38	982	1536
39	1003	1504
40	1023	1472
41	1043	1441
42	1064	1410
43	1084	1380
44	1104	1350
45	1125	1320
46	1145	1291
47	1166	1263
48	1186	1235
49	1207	1207
50	1228	1179
51	1248	1152
52	1269	1125
53	1290	1099
54	1310	1072
55	1331	1045
56	1352	1019
57	1372	994
58	1393	968
59	1414	942
60	1434	917
61	1456	892
62	1477	867
63	1498	842
64	1519	818
65	1540	793
66	1561	769
67	1583	745
68	1604	721
69	1625	696
70	1645	672
71	1667	648
72	1688	624
73	1709	600
74	1730	576
75	1750	552
76	1768	528
77	1788	504
78	1807	480
79	1816	454
80	1835	430
81	1855	407
82	1874	383
83	1895	361
84	1916	338
85	1938	315
86	1959	292
87	1979	269
88	1999	247
89	2019	224
90	2040	201
91	2061	179
92	2082	156
93	2103	134
94	2123	111
95	2143	89
96	2164	66
97	2185	44
98	2206	22
99	2227	0
